	price	sector	street	city	type	room	suite	park	m2
2632	570.000	SITIO DE RECREIO IPE	R DONA FIRMINA	Goiania GO	CASA DE CONDOMÍNIO	4	1	2	221
2636	1.000.000	JD GOIAS	AVENIDA D	Goiania GO	CASA	4	3	4	350
2639	5.500.000	RESID ALDEIA DO VALE	RUA CEDROS,DOS	Goiania GO	CASA DE CONDOMÍNIO	5	5	6	900
2640	450.000	JD EUROPA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA	3	1	3	196
2642	1.500.000	JDS VERONA	R BARONEZAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	320
2643	300.000	ALTO DA GLORIA	R FLORIANOPOLIS	Goiania GO	APARTAMENTO	3	1	1	81
2644	350.000	JD IPE	RUA JI 1	Goiania GO	CASA	3	1	3	256
2646	231.000	STA GENOVEVA	RUA ITAOCA	Goiania GO	APARTAMENTO	2	1	1	57
2647	235.000	SETOR FAICALVILLE	RUA F 49	Goiania GO	CASA	3	1	2	115
2648	320.000	SETOR BUENO	RUA T 64	Goiania GO	APARTAMENTO	2	1	1	64
2649	1.300.000	RESID GRANVILLE	RUA GV 30	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	350
2654	1.700.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	4	266
2655	189.000	JARDIM ATLÂNTICO	AVENIDA LAGUNA	Goiania GO	APARTAMENTO	2	1	1	58
2660	390.000	JARDIM ATLÂNTICO	RUA ASTERIA,DA	Goiania GO	CASA DE CONDOMÍNIO	3	1	2	127
2662	1.350.000	SETOR MARISTA	RUA 1141	Goiania GO	APARTAMENTO	3	3	4	233
2663	630.000	SETOR BUENO	RUA T 52 A	Goiania GO	APARTAMENTO	3	3	2	104
2665	289.000	SETOR BUENO	RUA T 64	Goiania GO	APARTAMENTO	3	1	1	87
2668	600.000	SETOR OESTE	RUA 9 A	Goiania GO	APARTAMENTO	4	1	2	152
2670	389.000	PQ AMAZONIA	RUA SALVADOR	Goiania GO	APARTAMENTO	3	3	2	92
2672	290.000	VILA ROSA	AVENIDA FRANCISCO DE MELO	Goiania GO	CASA	3	1	2	135
2673	210.000	SETOR GOIANIA 2	AVENIDA PEDRO PAULO DE SOUZA	Goiania GO	APARTAMENTO	3	1	2	75
2674	490.000	JD GOIAS	RUA 74	Goiania GO	APARTAMENTO	3	3	2	105
2675	530.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	1	2	127
2676	206.000	RESID ELDORADO	AVENIDA TRIESTE	Goiania GO	APARTAMENTO	2	1	1	57
2677	210.000	RESID ELDORADO	AVENIDA TRIESTE	Goiania GO	APARTAMENTO	2	1	1	57
2683	499.000	PQ AMAZONIA	ALAMEDA IMBE	Goiania GO	CASA DE CONDOMÍNIO	3	3	2	155
2685	388.000	SETOR BUENO	RUA T 30	Goiania GO	APARTAMENTO	3	1	2	73
2686	700.000	JD GOIAS	RUA 71	Goiania GO	APARTAMENTO	3	3	2	148
2687	310.000	SETOR OESTE	RUA 27	Goiania GO	APARTAMENTO	2	1	1	62
2688	265.000	JARDIM AMÉRICA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	1	2	102
2689	269.000	MOINHO DOS VENTOS	R MDV 6	Goiania GO	CASA	3	1	2	104
2693	1.838.000	SETOR BUENO	RUA T 59	Goiania GO	APARTAMENTO	4	4	3	260
2694	590.000	JD MARILIZA	RUA JARINA	Goiania GO	CASA	4	1	4	220
2697	380.000	SETOR CENTRAL	RUA 16	Goiania GO	APARTAMENTO	3	1	1	80
2698	229.000	JARDIM ATLÂNTICO	RUA ICARAI,DE	Goiania GO	APARTAMENTO	2	1	1	62
2699	210.000	PQ AMAZONIA	RUA MANAUS	Goiania GO	APARTAMENTO	2	1	1	54
2702	830.000	SETOR NOVA SUICA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	162
2705	1.950.000	JD GOIAS	RUA 14	Goiania GO	APARTAMENTO	3	3	3	215
2706	1.980.000	SETOR BUENO	AVENIDA T 3	Goiania GO	APARTAMENTO	4	4	5	255
2707	270.000	SETOR BELA VISTA	AVENIDA S- 2	Goiania GO	APARTAMENTO	3	1	1	79
2710	195.000	SETOR BUENO	R T 38	Goiania GO	APARTAMENTO	2	1	1	57
2712	627.000	SETOR BUENO	R T 37	Goiania GO	APARTAMENTO	3	3	2	120
2713	650.000	SETOR CENTRAL	RUA 1	Goiania GO	APARTAMENTO	4	2	3	340
2714	590.000	SETOR URIAS MAGALHAES	RUA SAO PAULO	Goiania GO	CASA	3	1	3	119
2715	330.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	2	1	2	65
2716	225.000	SETOR CRIMEIA LESTE	AVENIDA ENG FUAD RASSI	Goiania GO	APARTAMENTO	3	1	1	56
2717	320.000	SETOR GOIANIA 2	RUA NC 5	Goiania GO	CASA	3	1	4	190
2718	340.000	STA GENOVEVA	RUA JEQUITIBA	Goiania GO	CASA	3	3	2	127
2719	385.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	2	1	2	74
2720	1.388.200	SETOR BUENO	RUA T 71	Goiania GO	APARTAMENTO	4	4	4	228
2726	198.000	SETOR GOIANIA 2	AVENIDA PEDRO PAULO DE SOUZA	Goiania GO	APARTAMENTO	2	1	1	66
2728	190.000	SETOR NEGRAO DE LIMA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	2	1	1	52
2730	460.000	JARDIM AMÉRICA	RUA C 146	Goiania GO	CASA	3	3	2	150
2731	1.700.000	RESID GRANVILLE	RUA GV 2	Goiania GO	CASA DE CONDOMÍNIO	5	4	6	430
2733	410.000	SETOR OESTE	RUA 15	Goiania GO	APARTAMENTO	3	1	2	117
2735	2.100.000	JDS VERONA	RUA VENETO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	400
2742	1.190.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	178
2743	690.000	JARDIM AMÉRICA	RUA C 133	Goiania GO	CASA	4	1	4	250
2744	757.332	SETOR MARISTA	RUA 145	Goiania GO	APARTAMENTO	3	3	2	138
2747	830.000	SETOR BUENO	RUA T 49	Goiania GO	APARTAMENTO	4	2	3	169
2748	900.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	2	165
2749	450.000	SETOR BUENO	AVENIDA T 1	Goiania GO	APARTAMENTO	4	1	2	170
2750	370.000	SETOR NOVA SUICA	RUA C 257	Goiania GO	APARTAMENTO	3	1	2	97
