	id	label
195	82	JD BOM JESUS
196	27	MOINHO DOS VENTOS
197	102	RESID ALDEIA DO VALE
198	163	JDS PARIS
199	295	CONDOMINIO PRIVE DOS GIRASSOIS
200	65	JARDIM NOVO MUNDO
201	265	SETOR BARRA DA TIJUCA
202	124	JD STA CECÍLIA
203	187	VL NOVO HORIZONTE
204	263	RESID CLEA BORGES
205	91	VILA MARIA JOSÉ
206	232	RESID ANA CLARA
207	88	SETOR UNIVERSITÁRIO
208	282	VITORIA
209	287	JD PAMPULHA
210	148	CONDOMINIO DO LAGO
211	207	JD IPANEMA
212	138	RESID RIO VERDE
213	280	PQ DAS PAINEIRAS
214	46	RESID CID VERDE
215	296	ORLANDO DE MORAIS
216	289	RESID MARIA LOURENCA
217	30	GRANVILLE
218	17	PARQUE ANHANGUERA
219	128	ALICE BARBOSA
220	230	JD CARAVELAS
221	79	CID JARDIM
222	53	PQ FLAMBOYANT
223	253	CELINA PARK
224	213	SETOR ORIENTEVILLE
225	268	JD GUANABARA III
226	21	JDS LISBOA
227	292	RESID SONHO DOURADO
228	93	COND DO LAGO
229	210	SETOR STA RITA
230	276	RESID FORTEVILLE
231	221	SUDOESTE
232	126	COND ALPHAVILLE
233	251	RESID FIDELIS
234	0	JD GOIAS
235	4	SETOR PEDRO LUDOVICO
236	172	JD BALNEÁRIO MEIA PONTE
237	218	MONTE VERDE
238	71	JD PLANALTO
239	131	JDS MUNIQUE
240	85	RESID KATIA
241	231	JARDIM BALNEÁRIO
242	110	RESID ALICE BARBOSA
243	115	VL S JOSE
244	200	GOIA 2
245	52	RESID CELINA PARK
246	212	SETOR PERIM
247	258	ARAGUAIA PARK
248	50	VL ITATIAIA
249	129	SETOR SOL NASCENTE
250	203	SETOR CRIMEIA OESTE
251	127	SOLAR BOUGAINVILLE
252	47	SETOR BELA VISTA
253	106	JD VL BOA
254	34	SETOR NOVA SUICA
255	98	SETOR NOVA VL
256	245	SETOR CASTELO BRANCO
257	119	JDS MILAO
258	39	AEROVIARIO
259	44	JDS VERONA
260	16	SETOR FAICALVILLE
261	175	CHS ANHANGUERA
262	242	COND PQ DOS CISNES
263	118	RESID BARRAVENTO
264	2	JARDIM ATLÂNTICO
265	204	SÃO JUDAS TADEU
266	13	PQ AMAZONIA
267	15	RESID RECANTO DO BOSQUE
268	152	VILA NOVA
269	59	SETOR CAMPINAS
270	198	JD SÃO JOSÉ
271	191	LESTE VL NOVA
272	1	SETOR BUENO
273	60	RESID ALPHAVILLE
274	262	SETOR RIO FORMOSO
275	77	VL DOS ALPES
276	3	RESID ELI FORTE
277	256	JD ELI FORTE
278	122	RESID BALNEARIO
