	id	label
194	1398	AVENIDA BELO HORIZONTE
195	1159	ALAMEDA CARAIBAS,DAS
196	639	AV. JOÃO LEITE
197	953	RUA BG 1
198	269	R LAGO 27 QD 27 LOTE 09
199	559	VIA ALPHAVILLE
200	41	RUA T 59
201	1201	VIA PRIMEIRA
202	1112	RUA B 6
203	258	RUA 13 A
204	883	R ANGRA DOS REIS
205	1222	RUA DOS LÍRIOS / RUA DAS PAPOULAS QD 95 LT 4 /10
206	612	RUA PARINTINS
207	1221	RUA SAO LOURENCO
208	1117	R ABADE 2
209	951	AVENIDA T-4 QD.169 LTS 1921
210	1408	ALAMEDA CASTRO ALVES
211	1459	RUA MDV 9
212	936	R A 15
213	700	RUA MURICI
214	1211	RUA JASMINS,DOS
215	1189	AVENIDA ANHANGUERA
216	78	RUA C 263
217	960	RUA OITIS,DOS
218	217	AVENIDA RIO NEGRO
219	1306	AVENIDA ALBERTO MIGUEL
220	96	RUA 222
221	1026	ALAMEDA PAINEIRAS,DAS
222	484	RUA 1 A
223	305	R CHAO DE ESTRELA
224	1084	RUA GV 27
225	551	RUA F 22
226	865	AVENIDA ANA MARIA PACHECO
227	959	RUA ANHANGA
228	1231	AV. AFONSO PENA
229	921	RUA DONA VENERANDA GOMES LUSTOSA
230	473	RUA 42
231	1179	RUA T 32
232	918	RUA C-54
233	705	AV NAPOLI
234	1283	RUA T - 30 PRÓXIMO T - 8
235	1316	V. AMERICANO DO BRASIL,
236	1418	RUA INCAS
237	754	RUA TUXAUA
238	1028	R JOAO PESSOA
239	1262	R TARANCON
240	290	AV GERALDO RODRIGUES
241	1454	RUA SERRA DO CAPARAÓ
242	1329	RUA S- 5
243	455	AVENIDA T-4
244	437	AVENIDA PL 2
245	1320	RUA J 81
246	828	R LIRIOS,DOS
247	1290	RUA T 3 A
248	1070	RUA SB 14
249	1200	AV VALENCIA
250	715	AVENIDA NOSSA SENHORA DO ROSARIO
251	215	AVENIDA CAPISTABOS
252	540	RUA SB 50
253	503	AVENIDA IPANEMA
254	407	RUA J 80
255	85	RUA DIAMANTINA
256	684	AVENIDA PEDRO I
257	851	RUA 34 A
258	1233	PQ AMAZÔNIA
259	658	RUA 8
260	1249	RUA J 35
261	616	RUA DR JOAQUIM TAVEIRA
262	605	AV PERIMETRAL NORTE
263	178	AVENIDA AFONSO PENA
264	751	RUA R 18
265	819	VILA ROSA
266	1291	R FLORES,DAS
267	128	RUA MACEIO
268	229	R AGENOR ALVES DE OLIVEIRA
269	1102	R A 21
270	244	AVENIDA PIO CORREIA
271	817	RUA MARIA DE ALMEIDA LIMA
272	460	AVENIDA FLORESTA
273	707	VIELA 1140
274	608	VIA ALPHA 24
275	486	T 27
276	783	RUA L 11
277	1220	RUA VC 51
278	44	AVENIDA LEBLON
279	187	RUA MDV 21
280	821	RUA C-235 C T-71 QD 138
281	947	RUA CM 14
282	747	RUA 72, SETOR CENTRAL, ED. GIOVANA, APARAMENTO 203, GOIÂNIA - GO.
283	991	RUA ANGICO
284	1153	RUA T - 66
285	1050	RUA 9B QD H1 LT 20
286	849	RUA GOLFINHO,DO
287	1056	AV ANGELICAS,DAS
288	12	AVENIDA ARAGUAIA
289	273	RUA 7
290	1277	RUA S 1
291	1295	MADRI 30
292	225	AVENIDA 220
293	395	AVENIDA CIRCULAR QD. 03
294	716	RODOVIA GYN 20
295	907	AVENIDA GOIAS NORTE
296	349	RUA L-11
297	974	SETOR OESTE
298	1466	RUA PRES ERNESTO GEISEL
299	1236	AV. BELA VISTA, QD. 04
300	1471	RUA RB 10 A
301	468	AVENIDA ABEL SOARES DE CASTRO
302	690	RUA NOVA AURORA
303	539	T- 48
304	1061	RUA CAZUZA
305	1051	AVENIDA GUARAPARI
306	365	5
307	731	RUA 2 SN - CONDOMINIO RESERVA SAN MARINO
308	1234	RUA CEL VIRGILIO ROSA
309	932	RUA 116
310	1292	GRANVILLE
311	175	R PRUDENTE DE MORAIS
312	358	RUA 1 DE JANEIRO
313	753	RUA CORDOBA
314	567	RUA C 49
315	196	RUA ALGODAO,DO
316	339	AVENIDA I
317	924	RUA C 74
318	650	RUA JEQUITIBA
319	761	RUA AROEIRAS,DAS
320	621	AL CISNES,DOS
321	798	RUA RAUL MANOEL PEREIRA
322	1355	RUA NC 4
323	331	RUA DONA DARCY
324	649	RUA NC 5
325	1259	R INDAIAS,DOS
326	1372	RUA MARMELINHO
327	1426	RUA S5
328	45	RUA 1025
329	280	AVENIDA C 7
330	110	RUA T 38
331	655	RUA JACANA
332	91	RUA SAVEU,DO
333	942	R C 167
334	975	RUA PAGANINI
335	1468	AVENIDA SANTA BÁRBARA
336	993	RUA GV 28
337	1108	RUA PRESIDENTE DUTRA
338	1261	R SC 42
339	640	R DONA FIRMINA
340	1167	RUA C 210
341	510	RUA DONA VIRGINIA KUBITSCHEK FONSECA
342	5	RUA DIVA FORTES
343	1134	RUA GV 24
344	146	VIA ALPHA 1
345	838	AVENIDA PIRATININGA
346	834	R RIT 3
347	726	AVENIDA BELA VISTA
348	1380	RUA VITORIA REGIA
349	560	RUA S 6
350	593	RUA C-55 QD. 71
351	1111	AV. VEREDA DOS BURITIS
352	749	RUA 101 UNID 101
353	477	RUA ASTERIA,DA
354	359	RUA SENHOR 43
355	986	T- 30
356	200	RUA C 125
357	295	AVENIDA SEXTA AV
358	1301	RUA GRAMADO,DO
359	155	R TOPAZIOS,DOS
360	664	RUA J 59
361	652	RUA VENETO
362	163	RUA CONCORDIA,DA
363	1183	R ACACIAS,DAS
364	1445	RUA TRES MARIAS
365	1359	AVENIDA C 177
366	1449	RUA T - 36
367	954	ALAMEDA MANET
368	1077	RUA MADRI 13
369	1073	R1
370	968	AVENIDA QUITANDINHA
371	70	AVENIDA T 14
372	1268	RUA C 268
373	1265	RUA JUNQUILHOS,DOS
374	1378	AVENIDA 85
375	703	R MDV 42
376	661	RUA 49
377	27	ALAMEDA CORCOVADO
378	1214	R CEDROS,DOS
379	824	RUA SB 1
380	1416	AV.CASTELO BRANCO
381	505	RUA FORTALEZA  ALTO DA GLORIA
382	1069	AV. GUARAPARI
383	1335	RUA 1134
384	434	RUA C 259
385	656	RUA C 264
386	1072	R GREVILLEAS,DAS
387	1405	RUA SC 38
388	1357	RUA RB 51 A
389	1373	R FINLANDIA
390	156	RUA FL 32
391	1366	RUA DOS IPES
392	140	RUA 14
393	206	AV T 5
394	998	R SC 45
395	1354	R MISERICORDIA,DA
396	906	AV.PERIMENTAL COM RUA ESPERANÇA
397	1427	RUA IMIGRANTES,DOS
398	1188	ALAMEDA COUTO MAGALHÃES RUA 1.038 E VIELA.
399	535	R FLORIANOPOLIS
400	1225	RUA GGC 31
401	1367	RUA C 91
402	378	RUA T 55
403	1136	RUA 261
404	212	RUA CANUMA
405	189	RUA C 131 A
406	668	RUA MARIA APARECIDA
407	1474	R FV 20
408	1092	R C ­117 COM 190
409	1347	T-15
410	1209	AVENIDA TOCANTINS
411	490	RUA UBERABA
412	1229	AVENIDA IPES,DOS
413	17	AV.T5
414	368	RUA HERMANO KOMA
415	198	RUA C 72
416	852	RUA ARMOGASTE JOSE DA SILVEIRA
417	519	RUA UIRAPURU
418	795	RUA 20
419	515	R A 19
420	791	R MUSSAENDAS,DAS
421	1007	RUA PAULO VI
422	1223	RUA PENA CHAVES
423	665	RUA C 84 QUADRA 159 LOTE 12
424	1336	RUA JARDINS,DOS
425	1045	RUA VB 20
426	870	RUA RIACHUELO
427	441	AVENIDA RIO BRANCO
428	653	RUA C 133
429	1172	RUA F
430	372	AV. RIO NEGRO
431	98	R T 37
432	470	RUA GV 3
433	1042	AVENIDA JUIZ DE FORA
434	829	RUA F 21
435	931	X
436	1270	RUA J
437	1021	ALAMEDA QUARESMEIRAS,DAS
438	1396	RUA FILATELISTA,DO
439	620	RUA SIRI,DO
440	1224	R MDV 24
441	323	R SALGUEIROS,DOS
442	316	RUA 135, QUADRA 246, LOTES 21/22/23
443	696	RUA T-51
444	454	RUA SB 20
445	830	RUA SOMBREIROS,DOS
446	9	RUA C 131
447	682	ALPHAVILLE  RESIDENCIAL GOIÁS
448	566	RUA RB 6
449	624	RUA 85
450	1475	A
451	1142	AVENIDA CRISTO REI
452	324	RUA JOAO DE ABREU
453	424	RUA RODOVIA 6
454	1334	RUA 55 QD. B-14 JD. GOIÁS
455	1410	R DIAMANTINA
456	1132	RUA 1001
457	360	RUA B SEIS A.
458	319	RUA T 49
459	531	R PRIMAVERAS,DAS
460	1371	R B 29
461	569	AVENIDA T 12
462	1000	AVENIDA RI 31
463	1267	RUA 128 A
464	165	RUA T 65
465	119	AVENIDA ENG CORREIA LIMA
466	1165	RUA GAL OSORIO
467	580	R. UM MIL E SESSENTA E CINCO
468	415	AVENIDA RAVENA
469	927	RUA SC 3
470	1451	RUA R 10
471	1351	AVENIDA T-65
472	1205	T-51
473	1441	ALAMEDA ACACIAS,DAS
474	467	RUA ASPILIA
475	1252	AVENIDA ESMERALDA
476	262	RUA 1029
477	202	R MDV 18
478	643	RUA 1141
479	766	RUA SB 44
480	449	RUA C 156
481	211	RUA 23 A
482	1227	RUA C 115 A
483	748	J 7
484	855	RUA GETULIO VARGAS
485	557	AVENIDA JOSE LEANDRO DA CRUZ
486	978	RUA CAMPOS BELOS
487	1197	AV. 85
488	1406	RUA SB 6
489	1006	RUA T 29 1403
490	688	AVENIDA T-3
491	93	AVENIDA ENG FUAD RASSI
492	162	VIA ANITA GARIBALDI DE BRITO
493	204	RUA 30
494	1022	ESTRADA SAO DE GERALDO
495	888	RUA T-27 QUADRA 24 LOTE 8 9 10 E 11
496	617	RUA 1034
497	30	T 37
498	275	RUA JUSCELINO DA FONSECA RIBEIRO
499	585	RUA 21 DE ABRIL
500	1038	RUA 38
501	730	RUA C 250
502	1237	RUA PERCA,DA
503	792	RUA F 20
504	826	R JOSE PEREIRA BORGES
505	923	RUA 228
506	729	AVENIDA REZENDE
507	589	RUA C 254
508	457	AL BOLIVIA
509	920	RUA C 181
510	469	RUA C 161
511	151	RUA T-23
512	1465	R OM 41
513	801	LEBLON
514	173	RUA 13
515	389	RUA IGAPO
516	7	AVENIDA 136
517	1287	R H 6
518	963	RUA QUIRINOPOLIS
519	858	RUA C 134
520	56	AVENIDA CAIAPO
521	218	AV. RAVENA COM AV. TURIM QUADRA 13 RESIDENCIAL ELDORADO GOIÂNIA-GO
522	307	RUA SAO BARTOLOMEU
523	1228	RUA 2051 UNID 205
524	1066	RUA MACEIÓ
525	719	RUA T 38 APTO. 1201
526	711	AVENIDA FELIPE CAMARAO
527	1307	RUA C 220
528	256	R RN 4
529	277	AVENIDA T 2
530	500	PRACA MAES,DAS
531	1110	RUA T-5 QD. 125 LTS. 04 E 05 SETOR BUENO GOIÂNIA-GO
532	72	AVENIDA T 13
533	736	AVENIDA SOROCABA
534	997	RUA J 72
535	523	AVENIDA C 104
536	866	AVENIDA J
537	1349	AVENIDA DOS ALPES
538	1124	COPACABANA
539	160	AVENIDA MILAO
540	972	ALAMEDA VENEZA
541	125	AVENIDA T 9
542	1266	RUA PRES EPITACIO PESSOA
543	966	RUA J 34
544	1363	RUA RPS 2
545	606	AVENIDA GENESIO DE LIMA BRITO
546	1152	RUA 29 A
547	671	RUA PROFA MARIA DO S DE MATOS LIMA
548	301	RUA CV 24
