?	price	sector	street	type	room	suite	park	m2
2990	569.767	0	22	0	3	3	2	118
2991	1.680.000	53	173	0	4	4	4	242
2994	1.800.000	23	173	0	4	4	3	290
2995	226.093	87	693	0	3	1	1	66
2997	660.000	5	214	0	3	3	2	111
2998	259.000	54	694	1	3	1	2	190
3001	400.000	34	387	0	3	3	2	89
3007	225.000	8	55	0	3	1	1	90
3008	400.000	1	48	0	3	1	2	94
3009	685.000	0	695	0	4	2	2	125
3010	875.000	1	169	0	4	3	3	181
3013	290.000	13	485	0	3	1	2	77
3014	1.550.000	1	104	0	4	4	4	275
3015	265.000	13	519	0	3	1	1	75
3017	1.150.000	1	36	0	3	3	3	164
3019	460.000	0	22	0	3	1	2	88
3020	294.000	1	696	0	2	1	1	65
3022	2.200.000	0	130	0	5	5	4	316
3023	300.000	13	29	0	3	1	2	77
3024	228.000	14	179	0	2	1	1	63
3030	215.000	2	44	0	2	1	1	60
3031	592.710	6	697	0	3	3	2	121
3032	1.750.000	23	127	0	4	4	3	302
3033	610.000	1	145	0	4	2	2	190
3034	450.000	23	294	0	2	2	1	99
3035	210.000	83	698	0	3	1	1	83
3036	210.000	20	699	0	3	2	1	73
3037	506.273	0	32	0	3	3	2	118
3039	315.000	13	19	0	3	1	2	81
3041	400.000	92	700	1	3	1	1	150
3043	430.000	6	574	2	3	1	2	202
3044	895.000	5	173	0	3	3	2	126
3045	295.000	25	86	0	3	1	1	70
3046	517.857	0	22	0	3	3	2	108
3051	725.081	1	87	0	3	3	3	153
3052	895.000	13	99	2	3	3	2	212
3053	446.826	0	32	0	3	1	2	88
3057	5.380.000	61	36	2	4	4	4	630
3058	620.000	29	163	0	3	3	2	159
3061	380.000	187	701	1	3	2	3	200
3063	471.000	0	32	0	3	1	2	88
3064	275.000	25	68	0	3	1	2	76
3068	1.290.000	1	67	0	4	4	3	179
3070	270.000	59	144	0	2	1	1	68
3071	1.150.000	45	702	2	4	3	5	270
3072	280.000	27	703	1	2	1	3	156
3073	170.000	182	704	2	2	1	1	53
3077	175.000	14	705	0	2	1	2	57
3078	1.200.000	58	433	2	4	3	4	300
3079	235.900	6	706	0	2	1	1	65
3080	310.000	19	130	0	3	1	2	98
3085	500.000	1	50	0	4	2	2	165
3086	2.650.000	1	36	0	4	4	5	362
3087	3.161.583	5	707	0	4	4	2	362
3093	213.000	24	708	0	2	1	1	67
3094	816.000	1	87	0	3	3	3	153
3096	1.200.000	5	534	0	4	4	3	178
3098	730.000	1	263	0	3	3	2	123
3099	2.000.000	26	351	1	8	3	4	435
3100	500.000	23	336	0	3	3	2	113
3103	330.000	23	364	0	3	1	1	106
3105	278.700	40	82	0	3	1	2	67
3106	550.000	6	709	1	3	1	2	146
3109	292.955	6	125	0	2	1	1	63
3110	800.000	6	710	1	4	2	4	300
3111	600.000	188	711	2	4	1	3	146
3115	430.000	24	712	1	3	3	3	160
3116	4.000.000	1	458	0	4	4	7	545
3118	1.340.000	53	713	0	4	4	3	242
3119	197.000	14	59	0	2	1	1	58
3120	210.000	7	93	0	2	1	1	57
3121	360.000	1	165	0	3	1	2	84
3123	155.000	189	714	1	3	1	2	108
3124	1.850.000	58	592	2	4	4	4	320
3127	294.000	13	40	0	3	1	1	87
3130	316.840	23	107	0	2	1	1	70
3131	1.600.000	70	171	2	4	4	2	365
3132	1.058.491	5	310	0	3	3	2	157
3136	350.000	111	715	1	4	1	5	180
3137	905.677	55	244	2	4	4	2	206
3139	384.000	1	46	0	2	2	2	70
3140	145.000	190	716	1	2	2	2	66
3147	168.500	103	644	0	2	1	1	50
3150	700.000	1	41	0	4	2	2	142
3151	1.650.000	1	104	0	4	4	4	275
3153	400.000	1	717	0	3	1	2	79
3154	816.000	1	87	0	3	3	3	153
3156	275.000	25	68	0	2	1	1	62
3159	821.000	1	87	0	3	3	3	153
3160	250.000	1	72	0	2	1	1	51
3161	350.000	191	465	0	3	1	2	87
3163	360.000	14	348	0	3	3	2	99
3166	650.000	13	718	1	4	2	3	169
3169	349.000	25	68	0	3	1	2	76
3170	600.000	1	34	0	4	2	2	197
3171	370.000	1	34	0	4	2	1	120
3173	790.000	1	296	0	3	3	3	144
3174	2.000.000	1	719	0	4	4	3	450
3176	950.000	73	323	2	3	3	4	196
3178	194.336	103	334	0	2	1	2	57
3180	680.000	1	550	0	3	3	2	123
3181	471.093	1	46	0	3	3	1	95
3182	330.000	23	36	0	3	1	1	116
3183	800.000	23	55	0	4	3	2	228
3184	182.000	64	320	0	2	1	1	56
3185	600.000	1	720	0	4	2	3	157
3188	460.000	14	21	0	2	2	2	105
3189	360.000	10	721	0	3	1	2	118
3190	295.000	103	36	1	3	1	4	178
3191	160.000	103	644	0	2	1	1	56
3195	810.000	1	67	0	3	3	3	149
3196	150.000	32	722	1	2	1	1	31
3203	630.000	1	723	0	3	3	3	122
3204	275.000	40	511	0	3	1	1	75
3205	294.000	1	129	0	2	1	1	67
3206	420.000	23	274	0	3	2	2	108
3209	279.086	104	274	0	2	1	1	84
3210	360.000	23	296	0	3	1	2	104
3211	495.000	0	130	0	3	2	2	91
3212	230.000	33	65	0	3	1	1	77
3213	880.000	1	48	0	4	2	3	176
3214	2.500.000	0	313	0	4	4	4	326
3215	370.000	16	724	0	3	1	3	153
3217	610.000	26	725	1	3	1	4	250
3222	400.000	38	726	1	3	1	1	167
3225	315.000	192	273	1	3	2	4	189
3226	1.200.000	37	727	2	3	3	4	250
3229	530.000	23	296	0	4	2	2	128
3230	285.000	6	180	0	4	1	2	94
3231	855.000	43	728	1	4	4	4	250
3232	495.000	6	340	2	4	3	3	152
3233	450.000	23	36	0	2	2	2	89
3234	440.000	34	36	0	3	2	2	93
3235	1.400.000	5	36	0	4	4	3	200
3236	430.000	23	694	0	4	2	2	138
3238	695.000	2	562	1	4	4	6	228
3239	340.000	193	273	1	3	2	4	145
3240	420.000	48	729	1	3	1	2	119
3244	550.000	194	640	2	4	1	2	221
3246	1.490.000	44	290	2	4	2	6	383
3247	1.200.000	1	145	0	4	4	3	269
3248	3.200.000	63	467	2	5	5	6	428
3250	230.000	160	555	2	3	1	2	110
3251	330.000	195	25	1	3	2	4	231
3253	485.000	9	213	0	3	3	2	102
3254	1.050.000	0	140	0	4	4	3	177
3261	780.000	34	730	0	3	2	3	154
3262	185.000	36	731	1	2	1	2	77
3268	330.000	79	732	1	3	1	2	137
3270	420.000	13	475	0	3	3	2	92
3271	3.400.000	5	669	0	4	4	5	404
3273	460.000	34	387	0	3	3	2	109
3274	440.000	0	130	0	2	2	1	91
3275	979.000	186	147	2	5	5	4	350
3276	380.000	2	733	1	3	2	5	254
3278	220.000	107	734	1	3	1	2	100
3282	580.000	74	70	0	3	2	2	111
3284	1.530.000	1	67	0	5	4	3	237
3287	680.000	8	461	0	3	3	2	128
3288	230.000	1	34	0	2	1	1	57
3293	660.000	6	735	2	3	3	2	145
3295	800.000	65	736	1	5	1	4	258
3296	1.036.000	23	120	0	3	3	3	168
3297	425.000	1	737	0	3	1	2	80
3299	260.000	196	738	1	3	1	3	101
3302	189.000	87	253	0	3	1	1	65
3303	550.000	92	739	1	3	3	2	202
3304	600.000	0	32	0	3	3	2	108
3307	175.000	13	403	0	2	1	1	58
3310	750.000	23	36	0	3	1	2	119
3312	590.000	1	36	0	4	4	2	128
3315	1.490.000	37	740	2	5	5	3	360
3316	370.000	1	98	0	3	1	1	105
3318	2.340.000	1	237	0	5	5	4	317
3320	299.000	1	72	0	2	1	1	72
3323	370.000	0	1	0	2	1	1	77
3325	1.980.000	22	741	2	4	4	4	355
3326	388.000	0	22	0	3	1	2	88
3330	340.000	106	361	1	3	1	3	333
3331	185.000	13	742	0	2	1	1	52
3334	180.000	48	743	0	2	1	1	58
3335	158.000	27	744	0	2	1	1	52
3336	240.000	1	745	0	2	1	1	55
3338	290.000	14	21	0	3	3	2	93
3339	1.198.829	5	161	0	3	3	3	158
3344	540.000	1	529	0	3	3	2	134
3345	690.000	0	267	0	3	3	2	125
3346	741.300	1	50	0	3	3	2	130
3348	1.980.000	22	746	2	5	4	4	385
3353	821.000	1	87	0	3	3	3	153
3354	830.000	0	153	0	3	3	2	132
3355	260.000	19	747	0	2	1	1	115
3356	610.000	43	748	1	4	3	4	214
3360	235.000	168	749	1	3	1	5	56
3361	210.000	103	750	0	2	1	1	56
3362	470.000	0	548	0	3	3	1	105
3363	5.500.000	131	36	2	4	4	5	800
3365	365.000	9	13	0	3	1	2	80
3367	1.600.000	23	500	0	4	4	3	245
3369	1.291.000	23	751	0	4	4	4	452
3370	250.000	8	752	0	3	1	1	127
3375	315.000	1	129	0	2	1	1	67
3377	750.000	23	36	0	3	1	2	119
3378	1.680.000	47	624	0	5	5	5	335
3379	370.000	13	753	0	3	3	2	87
3380	1.200.000	5	534	0	4	4	3	178
3381	1.300.000	73	233	2	4	4	4	303
3382	320.000	74	36	0	2	1	1	64
3383	420.000	0	22	0	3	3	2	108
3385	1.700.000	10	521	0	4	2	2	386
3387	619.448	1	98	0	3	3	2	109
3388	305.000	13	754	0	3	1	2	83
3392	2.950.000	75	755	2	5	5	3	450
3396	3.900.000	75	682	2	5	5	6	591
3398	266.000	39	756	0	2	1	1	58
3399	305.000	23	537	0	3	1	1	114
3400	216.000	40	578	0	2	1	2	62
3401	190.000	33	572	0	2	1	1	58
3406	440.000	1	367	0	4	4	3	175
3407	309.000	23	294	0	2	1	1	70
3408	468.265	0	32	0	3	3	2	108
3409	2.260.000	5	459	0	4	4	3	323
3411	328.000	6	137	0	3	3	2	90
3418	410.000	71	36	2	3	1	2	142
3419	1.200.000	1	92	0	4	4	2	519
3421	200.000	116	757	2	3	1	2	86
3422	483.000	1	758	0	3	1	2	75
3426	190.000	40	759	0	2	1	2	62
3428	1.100.000	58	760	2	3	3	4	221
3430	490.000	34	4	0	3	3	2	92
3433	508.100	0	32	0	3	3	2	108
3441	5.500.000	102	761	2	4	4	8	750
3444	650.000	25	36	0	3	3	2	118
3445	172.000	56	630	2	3	1	1	61
3446	290.000	1	762	0	3	1	1	75
3447	298.000	1	169	0	2	1	1	67
3448	425.000	1	165	0	3	1	2	111
3451	2.085.000	0	313	0	4	4	4	270
3453	365.000	23	55	0	2	1	2	63
3455	750.000	23	36	0	5	5	4	252
3456	530.000	24	763	1	3	2	2	230
3458	225.000	23	274	0	3	1	1	100
3462	1.200.000	5	534	0	4	4	3	178
3463	190.000	197	109	0	2	1	1	58
3464	260.000	33	65	0	2	1	1	65
3465	855.000	5	299	0	3	3	3	147
3466	220.000	6	154	0	2	1	1	63
3467	3.600.000	61	36	2	4	4	3	486
3469	2.000.000	22	764	2	5	5	6	400
3470	1.530.000	21	765	2	5	5	3	433
3471	1.100.000	101	766	2	4	4	2	267
3472	690.000	0	118	0	3	3	2	128
3474	330.000	47	105	0	4	2	1	94
3482	799.000	1	125	0	3	3	3	153
3487	198.000	170	767	1	3	1	2	120
3488	5.500.000	102	328	2	4	4	8	750
3489	3.370.000	5	121	0	4	4	4	404
3490	480.000	1	4	0	3	3	2	112
3491	182.000	15	768	1	2	1	2	91
3492	182.000	15	769	1	2	1	1	91
3493	2.350.000	119	233	2	4	4	6	465
3495	1.250.000	0	313	0	4	4	3	213
3496	1.750.000	34	36	0	5	5	4	390
3497	800.000	1	36	0	3	3	3	144
3498	500.000	23	500	0	2	2	1	94
3499	680.000	0	507	0	4	2	2	149
3500	1.850.000	186	770	2	4	4	4	377
3503	506.273	0	32	0	3	3	2	118
3504	850.000	5	310	0	3	3	2	140
3508	215.000	14	21	0	3	2	1	70
3511	184.000	103	750	0	2	1	1	56
3512	350.000	5	104	0	2	1	2	58
3514	650.000	23	274	0	4	3	2	285
3515	850.000	1	169	0	3	3	3	177
3516	609.000	5	771	0	3	3	2	111
3517	869.960	5	512	0	3	3	2	158
3518	850.000	1	70	0	3	3	3	153
3520	265.000	35	772	1	3	1	2	206
3523	624.724	1	75	0	3	3	2	122
3525	199.000	170	773	0	3	1	1	130
3526	1.680.000	58	233	2	4	4	6	342
3527	228.524	40	774	0	3	1	1	68
3529	258.000	13	20	0	3	3	2	75
3530	930.000	1	165	0	3	3	2	144
3534	5.000.000	75	147	2	7	7	4	900
3535	255.000	59	144	0	2	1	1	68
3538	165.000	198	775	1	3	1	3	75
3539	820.000	5	299	0	3	3	3	149
3540	750.000	29	163	2	4	4	2	177
3541	1.350.000	5	310	0	2	2	2	158
3546	621.000	0	32	0	3	3	2	118
3547	168.000	199	663	1	2	1	1	75
3548	690.000	1	41	0	3	1	2	232
3550	3.073.270	5	292	0	4	4	4	362
3551	330.000	59	776	1	4	1	3	250
3552	1.700.000	73	36	2	4	4	4	317
3554	600.000	1	378	0	2	2	2	74
3556	4.100.000	75	185	2	4	4	8	697
3560	189.000	103	777	0	2	1	1	57
3564	680.000	1	41	0	3	3	2	113
3567	270.000	1	2	0	2	1	1	65
3569	370.000	200	487	1	3	2	3	150
3570	2.300.000	61	778	2	4	4	4	350
3571	469.000	23	345	0	4	1	1	155
3572	215.000	13	646	0	2	1	1	58
3573	241.291	40	82	0	3	1	1	67
3574	1.350.000	45	36	2	4	3	2	335
3575	1.800.000	5	779	1	4	4	6	380
3577	460.000	1	36	0	3	3	3	105
3578	380.000	14	21	0	3	3	2	105
3581	278.000	1	50	0	2	1	1	56
3582	1.400.000	23	313	0	4	4	3	286
3583	480.000	201	780	1	4	2	4	390
3589	349.800	1	98	0	2	2	1	66
3591	240.000	202	781	1	3	1	2	100
3592	315.000	91	681	0	2	1	2	65
3594	606.000	2	33	0	3	3	2	123
3595	224.000	28	114	0	3	1	1	76
3597	240.000	39	81	0	2	1	1	64
3600	580.000	34	387	0	3	3	2	106
3602	240.000	34	36	0	3	1	1	75
3604	1.100.000	0	0	0	4	4	3	180
3605	470.000	64	246	0	3	3	2	130
3610	220.000	47	259	0	2	1	1	65
3611	880.000	1	129	0	4	2	2	139
3614	1.895.937	23	37	0	4	4	3	239
3616	820.000	1	782	0	3	3	3	169
3617	690.000	23	36	0	3	3	2	192
3618	430.000	31	36	1	3	1	2	150
3619	169.000	33	168	0	2	1	1	64
3622	400.000	13	475	0	3	3	2	92
3624	995.000	0	107	1	4	4	4	380
3625	649.000	5	534	0	3	3	2	111
3626	1.050.000	23	36	0	4	4	3	254
3627	635.000	0	22	0	3	3	2	128
3628	190.000	14	160	0	2	1	1	64
3632	180.000	139	783	0	2	1	1	53
3633	250.000	0	681	0	2	1	1	56
3634	1.230.000	5	61	0	4	4	3	216
3635	520.000	74	283	0	4	4	2	113
3637	1.950.000	0	153	0	4	4	4	345
3638	426.188	0	32	0	3	1	2	88
3642	210.000	15	581	1	3	1	2	95
3645	330.000	23	115	0	3	1	1	76
3647	850.000	74	784	0	3	3	3	154
3648	199.968	103	777	0	2	1	1	57
3654	1.950.000	5	197	0	4	4	3	252
3657	320.000	47	105	0	3	1	2	80
3658	295.000	203	785	1	4	2	5	200
3660	350.000	20	258	0	3	1	2	94
3661	418.000	0	32	0	2	1	2	88
3662	469.000	29	786	2	3	1	2	142
3663	1.850.000	186	787	2	3	3	4	344
3665	440.000	25	595	0	3	3	2	97
3666	179.000	40	788	0	2	1	1	54
3668	480.000	23	345	0	5	2	2	142
3669	1.000.000	1	587	0	3	3	2	104
3670	284.000	1	129	0	2	1	1	66
3671	430.000	13	789	1	4	1	4	250
3672	260.000	77	36	0	3	1	2	74
3674	300.000	83	225	0	2	1	2	64
3677	779.000	10	790	1	5	1	3	333
3679	1.732.119	0	22	0	4	4	4	266
3680	900.000	23	130	0	4	4	2	340
3682	1.732.119	0	22	0	4	4	4	266
3683	700.000	1	87	0	3	3	2	212
3684	1.180.000	44	791	2	4	4	4	236
3688	1.150.000	0	173	0	3	3	3	160
3692	350.000	52	36	1	3	1	3	250
3693	471.000	14	21	0	3	3	2	127
3699	360.000	13	128	0	3	3	2	85
3703	485.000	1	378	0	2	2	2	75
3706	585.000	1	165	0	3	3	2	128
3707	330.000	16	792	1	3	1	3	110
3710	1.498.000	0	22	0	4	4	4	267
3711	1.200.000	1	41	0	3	3	4	184
3713	480.000	23	83	0	3	1	2	77
3718	299.000	27	207	2	3	1	2	113
3720	328.073	13	628	0	3	1	1	83
3723	900.000	1	222	0	4	3	4	310
3724	480.000	23	37	0	2	2	2	90
3727	1.490.000	44	791	2	4	4	4	350
3728	580.000	23	501	0	4	1	2	139
3729	1.200.000	23	793	0	3	3	3	220
3730	361.509	1	34	0	2	1	2	59
3731	175.000	87	794	0	3	1	1	51
3732	1.238.839	1	48	0	4	4	3	209
3733	410.000	14	111	0	3	2	2	99
3734	350.000	2	485	1	3	1	3	140
3735	220.000	19	795	0	3	1	1	84
3736	2.100.000	0	140	0	4	4	4	261
3739	656.178	6	112	0	3	3	2	120
3742	330.000	0	51	0	2	1	2	52
3745	315.000	25	86	0	2	1	1	70
3748	550.000	1	418	0	3	3	2	108
3750	220.000	35	468	0	3	1	1	78
3752	2.200.000	22	746	2	4	4	3	385
3755	257.000	7	796	0	3	1	1	72
3756	395.000	204	797	1	4	3	4	250
3757	140.000	69	798	1	2	1	2	65
3758	240.000	6	106	0	3	1	1	79
3762	195.000	157	520	0	2	1	1	61
3763	398.000	2	33	0	3	1	2	95
3765	225.000	0	431	0	2	1	1	60
3766	230.000	13	557	0	2	1	2	54
3767	220.000	205	799	1	3	1	2	90
3768	237.350	40	800	0	2	1	1	62
3769	1.500.000	23	500	0	4	4	3	279
3772	260.000	77	36	0	3	1	2	74
3775	257.000	2	801	0	3	1	2	74
3776	2.200.000	0	22	0	4	4	4	270
3777	725.000	13	403	1	5	2	6	490
3778	260.000	206	127	0	2	1	1	74
3779	1.290.000	5	214	0	4	4	3	221
3780	850.000	5	802	0	3	3	1	153
3782	850.000	0	313	0	3	3	2	163
3785	1.082.256	5	310	0	3	3	2	157
3786	590.000	1	803	0	3	3	2	133
3787	2.200.000	1	804	1	4	4	4	500
3789	1.350.000	5	173	0	4	4	4	241
3791	590.000	207	503	0	3	3	3	120
3794	260.000	1	145	0	2	1	1	70
3796	1.250.000	5	36	0	3	3	3	185
3797	1.130.000	5	61	0	3	3	3	179
3802	135.000	62	805	1	2	1	2	75
3810	293.000	1	129	0	2	1	1	67
3812	295.000	105	806	1	3	1	3	140
3814	890.000	45	36	2	4	2	2	232
3818	228.000	40	139	0	2	1	1	61
3819	465.000	1	762	0	3	3	2	117
3824	1.890.000	23	500	0	4	4	3	239
3827	365.000	2	36	1	3	1	4	179
3830	1.850.000	0	140	0	4	4	4	264
3831	281.340	7	93	0	3	1	1	69
3833	2.300.000	10	807	1	5	4	6	850
3834	580.000	1	98	0	3	1	2	162
3835	225.000	14	21	0	2	1	2	63
3836	599.000	208	502	1	7	3	6	287
3837	330.000	13	553	0	3	1	2	78
3839	525.000	31	808	2	3	1	2	160
3840	680.000	34	809	1	3	2	4	103
3842	720.000	1	92	0	4	2	2	142
3843	183.000	209	810	0	2	1	1	53
3845	490.000	80	811	0	3	3	2	105
3848	340.000	92	812	1	3	1	4	120
3849	350.000	106	813	2	3	3	2	119
3850	187.500	103	297	0	2	1	1	61
3853	805.000	34	730	0	4	3	3	154
3854	250.000	91	814	0	2	1	1	56
3856	260.000	11	815	0	3	1	1	84
3857	1.934.491	1	104	0	4	4	3	260
3860	600.000	1	75	0	3	3	2	123
3862	2.700.000	119	498	2	5	4	4	417
3864	930.000	43	816	1	4	2	5	450
3866	315.000	13	646	0	3	3	2	85
3871	250.000	13	79	0	2	1	1	67
3872	1.100.000	73	323	2	3	3	4	209
3873	280.000	14	21	0	3	3	2	80
3875	190.000	35	25	0	2	1	1	63
3878	295.000	0	36	0	2	1	1	65
3879	895.000	0	173	0	4	4	3	160
3883	490.000	1	34	0	3	3	2	93
3885	1.360.000	73	36	2	4	4	2	304
3888	540.000	0	548	0	3	3	2	105
3890	195.000	180	817	2	3	1	2	104
3893	340.000	47	36	0	3	1	1	77
3894	223.844	40	139	0	2	1	1	61
3895	1.704.000	1	67	0	4	4	3	238
3896	170.000	198	818	1	3	1	1	100
3897	215.000	103	819	0	2	1	1	62
3898	255.000	47	259	0	3	1	1	93
3899	2.500.000	1	67	0	4	4	4	360
3900	520.000	6	8	1	3	3	4	130
3902	1.198.000	37	820	2	3	3	3	267
3906	750.000	1	821	0	3	3	2	123
3907	335.000	25	68	0	3	3	2	78
3915	150.000	60	822	1	2	1	2	84
3917	1.400.000	0	313	0	4	3	3	222
3919	237.000	6	137	0	2	1	1	65
3921	160.000	3	5	2	3	1	1	78
3922	1.390.000	73	36	2	4	4	4	288
3927	950.000	0	32	0	4	4	3	167
3928	220.000	14	21	0	3	3	2	76
3930	180.000	1	296	0	2	1	1	60
3931	2.000.000	43	823	1	4	4	6	800
3932	1.000.000	136	824	2	5	2	5	272
3935	490.000	17	77	1	3	3	2	235
3937	260.000	81	522	1	3	1	2	107
3940	476.000	27	57	1	3	3	4	165
3941	310.000	210	825	1	3	1	4	160
3942	165.000	198	826	1	3	1	2	75
3943	250.000	211	827	1	3	1	2	92
3945	1.500.000	23	289	4	4	3	4	350
3946	890.000	1	4	0	3	2	3	160
3948	1.350.000	21	828	2	3	3	6	344
3950	270.000	35	829	1	3	1	2	100
3953	763.000	1	87	0	3	3	3	154
3957	4.950.000	102	830	2	4	4	3	711
3959	1.350.000	136	357	2	4	4	4	335
3961	280.000	24	134	0	3	1	2	72
3963	265.000	6	36	0	3	1	2	102
3964	360.000	34	434	0	3	1	2	82
3965	530.000	40	831	1	3	1	4	151
3966	239.000	13	101	0	2	1	1	63
3968	320.000	0	190	0	2	1	1	88
3970	258.500	91	36	0	2	1	1	57
3972	615.000	13	36	2	3	3	2	206
3973	180.000	27	49	1	2	1	1	80
3974	850.000	23	273	0	4	2	2	199
3976	750.000	23	36	0	3	3	2	142
3979	2.120.000	93	832	2	4	4	6	478
3980	1.590.000	1	254	0	4	4	4	310
3982	1.177.028	0	173	0	4	4	3	228
3983	1.200.000	5	833	0	4	4	4	177
3987	620.000	212	834	1	3	2	4	256
3988	445.000	2	33	0	3	3	2	106
3989	500.000	1	87	0	3	3	2	105
3990	450.000	23	835	0	4	2	2	194
3991	290.000	25	325	0	2	1	1	57
3995	644.000	0	140	0	3	3	2	129
4000	150.000	213	836	1	2	1	2	74
4003	800.000	92	837	1	4	1	4	350
4007	600.000	1	36	0	4	2	2	160
4008	290.000	13	838	0	3	1	2	81
4009	295.000	187	839	1	3	2	3	180
4010	215.000	35	25	0	2	1	1	64
4018	396.025	1	129	0	2	2	2	89
4019	446.000	0	32	0	3	1	2	88
4023	270.000	13	36	0	3	1	1	75
4025	1.600.000	58	233	2	4	4	4	360
4030	350.000	4	840	0	3	3	2	85
4035	773.095	1	87	0	3	3	2	153
4036	446.826	0	32	0	3	1	2	88
4038	1.180.000	1	67	0	4	4	3	181
4039	3.000.000	22	841	2	4	4	8	537
4040	2.990.000	119	842	2	4	4	5	428
4042	1.600.000	58	843	2	4	4	4	320
4044	340.000	1	844	0	3	1	2	77
4046	575.000	0	22	0	3	3	2	108
4048	280.000	47	105	0	3	1	2	90
4050	650.000	1	72	0	3	3	2	93
4051	300.000	27	49	1	3	1	4	150
4054	950.000	1	762	0	3	3	2	145
4058	450.000	23	55	0	3	3	2	139
4059	529.500	192	273	2	3	3	2	140
4060	592.139	6	232	0	3	3	2	121
4064	200.000	64	177	0	2	1	1	56
4065	600.000	1	418	0	3	3	2	114
4066	295.000	0	267	0	2	1	1	65
4069	200.000	13	36	0	2	1	1	57
4072	1.300.000	129	845	1	4	4	6	585
4077	194.600	120	370	0	2	1	2	59
4078	235.000	103	526	0	3	1	2	75
4079	400.000	14	21	0	3	3	2	105
4081	210.000	7	93	0	2	1	1	64
4082	1.700.000	1	75	0	4	4	3	236
4087	597.000	25	846	0	3	3	2	105
4088	900.000	0	153	0	3	3	2	163
4089	300.000	14	160	0	3	3	2	81
4090	505.000	19	130	0	4	3	2	142
4093	165.000	5	847	0	2	1	1	60
4094	295.000	47	72	0	3	2	2	77
4095	480.900	0	32	0	3	3	2	118
4098	278.000	23	385	0	2	1	1	64
4101	1.500.000	22	594	2	3	3	4	350
4103	365.000	16	848	1	3	1	2	230
4104	720.000	2	849	1	3	3	4	250
4108	1.644.620	0	22	0	4	4	4	269
4110	260.000	5	850	0	3	3	2	121
4111	1.200.000	23	336	0	3	3	3	324
4115	1.825.600	5	851	0	4	4	5	326
4116	610.000	23	36	0	4	1	2	152
4117	390.000	94	852	1	4	1	4	269
4118	1.100.000	47	259	0	4	4	3	269
4119	400.000	92	853	1	3	1	3	180
4121	620.000	1	75	0	3	3	2	122
4122	950.000	1	237	0	3	3	3	162
4123	235.000	40	82	0	3	1	2	68
4124	280.000	13	519	0	3	1	1	75
4125	235.000	14	160	0	3	2	2	71
4126	506.273	0	32	0	3	3	2	118
4127	2.294.055	1	622	0	4	4	4	314
4131	572.529	0	22	0	3	3	2	118
4134	174.668	87	854	0	2	1	1	55
4136	400.000	17	855	1	3	1	4	140
4139	2.800.000	102	429	2	3	3	4	503
4140	1.690.000	73	856	2	4	4	4	352
4141	1.250.000	37	857	2	3	3	2	247
4143	220.000	16	468	0	3	1	1	84
4144	483.000	1	48	0	3	3	2	102
4146	605.000	80	437	0	3	3	2	117
4148	270.000	79	368	0	3	1	1	79
4150	250.000	6	858	0	3	1	2	96
4151	290.000	0	859	0	3	1	1	75
4152	330.000	214	860	1	3	1	4	195
4156	990.000	1	861	0	3	3	3	173
4157	260.000	23	109	0	3	1	1	114
4158	850.000	34	4	1	4	2	5	290
4159	200.000	48	124	0	2	1	1	60
4165	230.000	4	36	0	2	1	1	71
4166	1.450.000	5	214	0	5	4	3	230
4167	590.000	0	22	0	3	3	2	118
4168	255.000	215	862	2	3	1	2	75
4173	239.000	13	628	0	2	1	1	62
4174	427.000	30	59	0	3	3	2	130
4176	990.000	57	540	2	4	4	2	294
4177	850.000	5	204	0	3	3	2	150
4179	270.000	23	62	0	3	1	1	94
4180	150.000	216	228	1	2	1	1	68
4181	3.600.000	61	36	2	4	4	3	500
4182	270.000	103	526	0	3	1	1	74
4184	150.000	216	228	1	2	1	1	68
4185	950.000	52	863	1	4	4	6	261
4186	190.000	217	864	1	3	1	2	90
4187	270.000	13	36	0	2	1	1	68
4194	1.180.000	44	791	2	4	4	4	236
4196	690.000	9	10	0	3	3	2	146
4197	770.000	5	310	0	3	3	3	139
4198	1.200.000	37	727	2	3	3	3	250
4201	202.975	7	93	0	2	1	1	56
4202	170.000	216	228	1	2	1	1	70
4203	380.000	6	421	0	3	3	2	92
4205	735.000	1	129	0	3	3	2	126
4208	215.000	29	786	0	2	1	1	57
4209	410.000	2	33	0	3	1	2	94
4210	243.000	5	534	0	2	1	1	42
4212	198.000	92	865	0	3	1	1	74
4217	1.125.354	5	197	0	4	4	2	175
4218	600.000	47	435	0	4	2	2	150
4220	230.000	2	503	0	3	1	1	74
4222	325.000	25	866	0	2	1	2	83
4223	480.000	218	640	2	3	1	4	129
4224	850.000	5	260	0	3	3	2	128
4226	3.600.000	61	36	2	4	4	3	486
4227	750.000	1	48	0	3	3	4	191
4228	550.000	1	165	0	3	3	2	111
4230	500.000	219	867	1	3	2	4	200
4231	405.000	64	246	0	3	3	2	108
4233	410.000	23	36	0	4	2	2	141
4239	750.000	1	48	0	3	3	3	167
4242	250.000	4	840	0	3	1	1	85
4244	355.000	1	87	0	3	1	1	88
4245	1.667.000	5	453	0	4	4	4	287
4246	380.000	4	868	0	3	1	2	110
4249	247.000	2	869	1	3	1	3	150
4250	180.000	2	575	0	2	1	1	52
4252	140.000	16	25	0	3	1	1	74
4253	330.000	106	870	1	3	1	2	160
4255	649.000	23	55	0	4	1	2	146
4257	1.600.000	1	104	0	4	1	4	275
4259	445.000	0	190	0	3	2	2	92
